EI45F	ALBUME D'UOVA 1kg ELITE	BRI	1
DGF04	CREMA 4 FORMAGGI 800g 'DoGusto'	DOS	3
MMP30	MIRTILLI ROSSI 'FOPPA' 70% FRUTTA 2,7kg	EIM	1
PO25T	POMMES JULIENNE 6x6mm 'AGRARFROST'	KG.	40
HPM47	ROTOLO CARTA MILLEUSI 304m x2	PAC	1
EI35F	UOVA SPECIALI 180 PEZZI (L) 63-73g	KRT	2
TMM41	DOPPIO CONCENTRATO POMODORO 880g 'MUTTI'	DOS	6
SH15F	VEGETOP -PANNA- 33,5% 1l 'DEBIC'	FLA	6
HPT41	TOVAGLIETTA CARTAPAGLIA 30x40cm 500 PEZZI	NR.	1
GP88F	GRANA PADANO SCAGLIE 500g	SAC	2
BTB05	PANGRATTATO 5kg- SACK 'FRITZ & FELIX'	SAC	2
HPH15	ASCIUGAMANI DI CARTA A 'V' 12x250 PEZZI	KRT	2
BMH05	LIEVITO FRESCO 20x25g (500g)	NR.	2
HI10T	CERVO CARNE PER RAGÚ CONGELATO	KG.	5
WMB25	FARINA BLU 00 25kg 'RIEPER'	SAC	2
SX57F	SPECK INTERO SENZA COTENNA 'MENDEL SPECK'	KG.	3,514
WMG05	FARINA GOLD 00 5kg 'RIEPER'	SAC	4
SC75F	SUINO FILONE SENZA CORDONE FRESCO	KG.	11,6
TM300	POMODORI PELATI SUPER SALSATI 3/1 'BIG CHEF'	DOS	18
HPJ61	CARTA IGIENICA JUMBO 320m 6 ROTOLI	PAC	4
RSC00	RISO CARNAROLI SELEZIONE CASTEL D'ARIO 1kg NUVOLA	SAC	4
SH40F	PANNA DA MONTARE UHT 35% 1l 'ALMLIESL'	BRI	4
BAH72	PENNETTE RIGATE 72 5kg 'BARILLA'	SAC	3
LS63T	LASAGNE FOGLIE PRECOTTE 2kg CONG.	NR.	5
KS90F	PHILADELPHIA 100g	NR.	1
EI70F	TUORLO D'UOVA 1kg ELITE ALLEVAMENTO A TERRA	BRI	1
