FPN1T;FRUCHTPÜREE MANGO 1kg GEFR. FRUITIERE;BEC;1
EI35F;EIER SPEZIAL 180er - BOX (L) 63-73g;KRT;1
OEG25;SONNENBLUMENÖL 10l 'BIG CHEF';KAN;2
BU77F;BURIOL ROAST & FRY 1l 'DEBIC';FLA;6
MI15F;MILCH 'BRIMI' UHT 3,5% 1l;BRI;36
MZ11F;BURRATA 300g 'ABBASCIANO';BEC;2
SC44F;ROHSCHINKEN FIOCCO OHNE KNOCHEN MOTTOLINI;KG.;1,918
KL90F;KALB WANGE x4 FRISCH;KG.;5,66
GM32F;LEMONGRAS ZITRONENGRAS PÜREE FRISCH 450g 'BRESC';BEC;1
TMG93;TOMATEN GESCHNITTEN (POLPA) 3/1 'BIG CHEF';DOS;6
KUS51;KUVERTÜRE DUNKEL 54,5% PISTOLES 2,5kg 'CALLEBAUT';SAC;1
SH26F;SCHLAGSAHNE 1l FRISCH 'STERZINGER';BRI;1
INFO;- morgen liefern;Stk;0
