SC79F	SCHWEINSRIPPEN HALBIERT EXTRAZART FRISCH	KG.	18
KA01F	BRIE FRANZÖSISCH ca. 1kg	KG.	4,4
KK01T	KROKETTEN LANG GEFROREN 'LUTOSA'	KG.	7,5
RI90T	RIND FASCHIERTES IQF 1kg GEFROREN	SAC	4
GM86T	WURZELGEMÜSE (SOFFRITTO) BRUNOISE 1kg OROGEL	SAC	2
SC24F	MINI PRAGER SCHINKEN 1/2 'VONTAVON'	KG.	2,84
TW61T	BLÄTTERTEIG 1kg GEFROREN 'PAN'	NR.	7
WU99F	GRILLWURST DÜNN 20 STÜCK 'VILLGRATER'	KG.	6,5
BOW53	BOHNEN WEISS 3/1 'BIG CHEF'	DOS	2
BAH83	TORTIGLIONI 83 5kg 'BARILLA'	SAC	2
RI99T	RIND KNOCHEN GEFR.	KG.	7
SOP91	SUGO POMODORINA 1/1 'MENU'	DOS	12
MI44F	MILCH UHT 1,5% 1l 'GMUNDEN'	BRI	12
BRE16	BRODO ELITE GRANULAT 1,3kg 'KNORR'	DOS	2
HYH07	HANDSCHUHE SCHWARZ LATEX M 7-7,5 100 STÜCK	NR.	2
