KTS50	KARTOFFELSALAT FIXFERTIG FRISCH 5kg 'FOPPA'	EIM	1
MI05F	BUTTERMILCH 500ml 'ALGUNDER'	BEC	6
MI05F	BUTTERMILCH 500ml 'ALGUNDER'	BEC	-3
