MI15F	MILCH 'BRIMI' UHT 3,5% 1l	BRI	48
JO70F	JOGHURT 'STERZINGER' NATUR 5kg	EIM	1
OBP61	PFIRSICHKOMPOTT 1/1 VALFRUTTA	DOS	5
SH50F	SAUERRAHM CREME FRAICHE 200ml BAYERNLAND	BEC	5
SC39F	KRÄUTERSCHINKEN MIT ROSMARIN 'RECLA'	KG.	3,5
SA28F	SALAMI UNGARISCH ca. 3,5kg 'LEVONI'	KG.	3,5
SC49F	SPECK 6 MONATE 'METZGEREI TROCKNER'	KG.	5
MZ65F	MOZZARELLINE KIRSCHEN 1kg 'BAYERNLAND'	BEC	1
ZI22F	ZIEGENKÄSE RÖLLCHEN PFEFFER 5x100g	NR.	1
KA31F	RUCOLA-FRISCHKÄSE KLEIN 'ALGUNDER'	KG.	0,5
KFB04	KAFFEE HELL MELITTA GEMAHLEN 1kg 'BRISTOT'	SAC	6
EI58F	EIER FREILAND LOSE (L) 90 STÜCK 'SÜDTIROL'	KRT	1
BU61F	BUTTER 250g 'STERZINGER'	NR.	20
GDK01	KÜRBISKERNE GESCHÄLT 1kg 'SCHLÖSSLMÜHLE'	SAC	1
GDS03	SONNENBLUMENKERNE GESCHÄLT 1kg SCHLÖSSLMÜHLE	SAC	1
MUS01	SCHOKOSHELLS 1kg 'VENOSTA'	SAC	1
PS99F	KALBSLEBER STREICHWURST BITS 25g 20 STÜCK	NR.	1
HGW10	WALDHONIG 1kg 'JODLER'	GLA	1
HGN42	HONIG MIT NÜSSEN 410g 'UWE'	GLA	3
SSP02	NUTELLA PORTIONEN 15g 120 STÜCK	KRT	1
KA01F	BRIE FRANZÖSISCH ca. 1kg	KG.	1,1
GP78F	GRANA PADANO 1/32 VERP.	KG.	1,1
