SHG50	SAHNE-GASKAPSELN 10 STÜCK 'SCHNEIDER'	NR.	3
GBS25	SALZGEBÄCK BAR MIX 1kg 'CAMEO'	SAC	2
FPF10	FRUCHTPÜREE PASSIONSFRUCHT FRISCH 1kg FRUITIERE	SAC	1
TR25F	TRUTHAHNBRUST HALBIERT FRISCH ITALIEN	KG.	2,284
TFV18	TROCKENFRÜCHTE MELANGE EXTRA 10 FRÜCHTE MIX 1kg	SAC	2
FPR10	FRUCHTPÜREE SCHWARZE JOHANNISBEERE FRISCH 1kg	SAC	1
TFP06	PFLAUMEN GETROCKNET OHNE STEIN 5kg	KRT	2
FPE10	FRUCHTPÜREE ERDBEERE FRISCH 1kg FRUITIERE	SAC	2
FRM00	MULTIVITAMINSAFT 1,5l 'FRUITY'	BRI	16
JO70F	JOGHURT 'STERZINGER' NATUR 5kg	EIM	1
MUH05	HAFERFLOCKEN BLÜTENZART 500g 'KÖLLN'	SAC	2
HU25F	HÜHNERBRUST FRISCH HALBIERT OHNE KNOCHEN	KG.	4,688
GBS61	SALZ-ERDNÜSSE 1kg 'ABBASCIANO'	SAC	2
GDL35	LEINSAMEN 1kg 'SCHLÖSSLMÜHLE'	SAC	2
TFP51	PEKANNÜSSE 1kg 'BIG CHEF'	SAC	1
GDS03	SONNENBLUMENKERNE GESCHÄLT 1kg SCHLÖSSLMÜHLE	SAC	2
MUF25	MÜSLI FRÜCHTE PREMIUM 2,5kg 'CERCOPE'	SAC	1
TFC50	CASHEW KERNE 500g	SAC	2
MEG05	GLUTENFREIES MEHL FOOD SERVICE 1kg SCHÄR	SAC	1
TWG93	GLUTENFREIE PENNE 400g BARILLA	NR.	2
FPH10	FRUCHTPÜREE HIMBEERE FRISCH 1kg FRUITIERE	SAC	1
QT57F	QUARK MAGER (TOPFEN) 1% 1kg 'ALGUNDER'	BEC	3
SC75F	SCHWEIN KARREE AUSGELÖST OHNE STRANG FRISCH	KG.	6,312
