KS04F	EDAMER SCHEIBEN 1kg 'BAYERNLAND'	BEC	5
SED10	SENF MITTELSCHARF 875ml 'DEVELEY'	EIM	1
WGK51	KNOBLAUCHGRANULAT 800g 'WIBERG'	DOS	1
MYC51	MAYONNAISE CLASSICA 5kg CALVE	EIM	1
THM57	THUNFISCH 4x500g 'MARUZZELLA'	NR.	2
TMP07	TOMATEN PASSIERT 700g 'MUTTI'	FLA	12
PO47T	POMMES WEDGES 'McCAIN'	KG.	12,5
KT66T	KARTOFFELNOCKEN ORO 1kg GEFR. 'TAIBON'	SAC	5
SPV2T	EIS VANILLE 4,75l GEFR. EMOZIONI	KRT	2
PO45T	POMMES JULIENNE 6x6mm 'McCAIN'	KG.	12,5
RSC54	REIS CARNAROLI 2x500g 'TAGLIERE'	NR.	12
WGO92	ORIGANO GEREBELT 110g 'WIBERG'	DOS	1
TT57T	TORTELLINI FLEISCH GEFR. 'UNIPASTA'	KG.	3
GP89F	GRANA PADANO GERIEBEN 1kg 'PANOZZO'	SAC	2
SH40F	SCHLAGSAHNE UHT 35% 1l 'ALMLIESL'	BRI	5
SL46T	SCHLUTZKRAPFEN AHRNTALER 500g 'ASTNER'	KG.	2,5
