TD23T	MONO DESSERT 'SAINT CARAMELE HONORE' 14x70g CONG.	NR.	2
TS84T	MONO TORTINA MOUSSE YOGURT/FRAGOLA 15x110g CONG.	CAR	2
TD22T	MONO DESSERT 'SCRIGNO' CIOCC E NOCCIOLE 12x80g CG.	CAR	2
INFO	saint onore aprire il cartone e controll	pz	1
TD51T	MONO DESSERT CIOCC E CARAMELLO 85g 8 PEZZI CONG.	CAR	2
TD24T	ASSORTIMENTO PICCOLA PASTICCERIA 57x14g CONG.	NR.	2
TS87T	MONO DESSERT CHEESE CAKE BOMB 100g 12 PEZZI CONG.	CAR	2
TD58T	MONO DESSERT L'INNOCENTE 100g 9 PEZZI CONG.	CAR	2
TD54T	MONO DESSERT PISTACCHIO E LAMPONE 9x95g CONG.	CAR	2
